kic,fits_count,download
10065597,17,Y
10069168,17,Y
10073406,4,Y
10123009,17,Y
10064822,17,Y
10118422,18,Y
10118610,18,Y
10019644,16,Y
10119352,17,Y
10066785,17,Y
10128049,17,Y
10029821,15,Y
10089123,14,Y
10067001,18,Y
10002496,17,Y
10005647,17,Y
10121766,18,Y
10002462,18,Y
10069739,17,Y
10011411,14,Y
10079938,17,Y
10022892,14,Y
10059355,17,Y
10066588,1,Y
10001648,17,Y
10029022,14,Y
10090203,11,Y
10018791,14,Y
10019643,17,Y
10083224,9,Y
5351250,17,Y
10000198,17,Y
10090257,14,Y
10065957,17,Y
10087214,14,Y
10068680,18,Y
10058829,17,Y
10055538,17,Y
10030993,13,Y
10066970,17,Y
10053099,16,Y
10079998,18,Y
10080455,17,Y
3239945,17,Y
10016694,17,Y
10065366,17,Y
10088297,14,Y
10119930,18,Y
10129799,14,Y
10062715,17,Y
10066187,18,Y
10083815,15,Y
10055197,17,Y
10118816,17,Y
10069309,17,Y
10011213,16,Y
10069907,17,Y
10066173,17,Y
10057634,17,Y
10006096,17,Y
10124624,17,Y
10029881,14,Y
10058816,17,Y
10129755,18,Y
10007940,17,Y
10019610,16,Y
10080204,17,Y
10064876,17,Y
10065198,18,Y
10089973,14,Y
10090250,14,Y
10092163,14,Y
10079157,17,Y
10129593,14,Y
10016455,17,Y
10020137,6,Y
10018963,18,Y
10086904,14,Y
10122520,17,Y
10118672,17,Y
10082757,15,Y
10019242,17,Y
10128483,17,Y
10035088,15,Y
10095142,14,Y
10082591,17,Y
10090266,14,Y
10118229,8,Y
10079398,14,Y
10000162,17,Y
10093428,14,Y
10097840,14,Y
10065165,2,Y
10081119,17,Y
10029078,11,Y
10017313,17,Y
10001276,2,Y
10068810,18,Y
10071333,17,Y
10128226,17,Y
10128470,17,Y
10079354,17,Y
10005428,17,Y
10069764,17,Y
10002867,17,Y
10095348,11,Y
10023313,15,Y
10000191,6,Y
10026453,14,Y
10122175,17,Y
10024304,14,Y
10098201,14,Y
10067407,18,Y
10090850,14,Y
10005417,18,Y
5956342,17,Y
10065591,17,Y
10005646,18,Y
10004794,14,Y
3861595,15,Y
10057661,18,Y
10075155,17,Y
10058843,18,Y
10020191,17,Y
10099182,14,Y
10092932,3,Y
10070418,17,Y
10023189,14,Y
10030758,14,Y
10058286,17,Y
10079753,18,Y
10121794,17,Y
10002490,18,Y
10089773,13,Y
10125106,17,Y
5689351,13,Y
10014959,18,Y
10005473,15,Y
10019810,14,Y
10075199,17,Y
10098068,13,Y
10001824,17,Y
10092136,14,Y
10119353,17,Y
10097676,15,Y
10016867,16,Y
10070847,17,Y
10007129,2,Y
10129532,18,Y
10087074,14,Y
10078440,17,Y
10053452,17,Y
10003574,17,Y
10094832,14,Y
10055107,17,Y
10031670,14,Y
10124472,18,Y
10079908,18,Y
10089548,14,Y
10080293,17,Y
10074841,17,Y
10058243,17,Y
10053499,18,Y
10080869,17,Y
10025841,15,Y
10000108,18,Y
10010994,17,Y
10057233,18,Y
10000766,2,Y
10002203,17,Y
10123234,18,Y
10070247,17,Y
10014702,17,Y
10120683,18,Y
10082950,17,Y
10010958,17,Y
10068842,17,Y
10001224,17,Y
10089114,5,Y
10090039,15,Y
10122776,18,Y
10094036,14,Y
10019022,17,Y
10121904,17,Y
10054489,4,Y
10083623,14,Y
10090234,15,Y
11446443,15,Y
10092335,14,Y
10083247,17,Y
10005429,16,Y
10066947,17,Y
10087011,14,Y
10002866,17,Y
10025678,14,Y
10095520,14,Y
10026009,13,Y
10083021,17,Y
10000500,17,Y
10031075,14,Y
10123052,18,Y
10064613,17,Y
10001284,18,Y
10075553,8,Y
10082904,18,Y
10058479,17,Y
10034197,14,Y
10001270,2,Y
10018953,17,Y
10122722,17,Y
10092508,14,Y
10030361,15,Y
10083026,18,Y
10094091,14,Y
10007983,17,Y
10003349,7,Y
10083442,17,Y
10031885,14,Y
10028352,15,Y
10063258,17,Y
10005278,17,Y
10018391,17,Y
5880320,17,Y
10024766,14,Y
10003144,14,Y
10028399,13,Y
10001045,17,Y
10026667,14,Y
10073657,17,Y
10122173,17,Y
10089523,15,Y
10082769,17,Y
10088253,14,Y
10068672,17,Y
10057893,17,Y
10092506,15,Y
10065951,17,Y
10026038,14,Y
10097622,11,Y
10019281,17,Y
10125199,18,Y
10028156,15,Y
10030995,14,Y
10007519,17,Y
10083480,15,Y
10018962,17,Y
10059338,15,Y
10025444,14,Y
10002266,17,Y
10001087,2,Y
10057632,14,Y
10064622,17,Y
10099921,9,Y
10000509,1,Y
10088639,14,Y
10079397,17,Y
10028535,14,Y
10095186,15,Y
10123893,17,Y
10090400,14,Y
10006097,18,Y
10123064,17,Y
10031427,6,Y
10118817,1,Y
10011212,6,Y
10130225,4,Y
10024591,14,Y
10002261,18,Y
10024565,13,Y
10090867,11,Y
10086902,14,Y
10054420,17,Y
10098652,12,Y
10055196,18,Y
10080811,17,Y
10124435,17,Y
10066362,17,Y
10089702,14,Y
10053071,17,Y
10003533,17,Y
10054402,2,Y
10030147,14,Y
10018382,17,Y
10078869,14,Y
10019062,17,Y
10028341,14,Y
10014917,18,Y
10031298,14,Y
